Gene Name	Ensembl Gene ID	Known or Novel	Acinar	Alpha	Beta
AC005523.2	ENSG00000269604.1	Novel	Yes	No	No
AC051649.6	ENSG00000232987.1	Novel	Yes	No	No
C8orf33	ENSG00000182307.8	Novel	Yes	No	No
CAMLG	ENSG00000164615.3	Novel	Yes	No	No
DAPK2	ENSG00000035664.7	Novel	Yes	No	No
ELF5	ENSG00000135374.5	Novel	Yes	No	No
ETV6	ENSG00000139083.6	Novel	Yes	No	No
FAM96A	ENSG00000166797.6	Novel	Yes	No	No
FBP2	ENSG00000130957.4	Novel	Yes	No	No
FBXO7	ENSG00000100225.13	Novel	Yes	No	No
GRINA	ENSG00000178719.12	Novel	Yes	No	No
HKDC1	ENSG00000156510.11	Novel	Yes	No	No
MESP2	ENSG00000188095.3	Novel	Yes	No	No
PCNXL3	ENSG00000197136.4	Novel	Yes	No	No
RP11-445H22.4	ENSG00000244558.1	Novel	Yes	No	No
RP11-895M11.3	ENSG00000258798.1	Novel	Yes	No	No
RP3-402G11.26	ENSG00000273253.1	Novel	Yes	No	No
RTCB	ENSG00000100220.7	Novel	Yes	No	No
SELO	ENSG00000073169.9	Novel	Yes	No	No
SH3YL1	ENSG00000035115.17	Novel	Yes	No	No
TMEM110-MUSTN1	ENSG00000248592.3	Novel	Yes	No	No
WWP2	ENSG00000198373.8	Novel	Yes	No	No
ZNF252P-AS1	ENSG00000255559.1	Novel	Yes	No	No
ANPEP	ENSG00000166825.9	Known	Yes	No	No
CLDN7	ENSG00000181885.14	Known	Yes	No	No
MOV10L1	ENSG00000073146.11	Known	Yes	No	No
MYEOV	ENSG00000172927.3	Known	Yes	No	No
SLC22A3	ENSG00000146477.4	Known	Yes	No	No
TSPAN15	ENSG00000099282.5	Known	Yes	No	No
AC005197.2	ENSG00000269694.1	Novel	No	Yes	No
AC007386.4	ENSG00000232613.2	Novel	No	Yes	No
AC007880.1	ENSG00000234572.1	Novel	No	Yes	No
AC093323.1	ENSG00000268791.1	Novel	No	Yes	No
AF213884.2	ENSG00000260651.1	Novel	No	Yes	No
AP006621.8	ENSG00000255108.1	Novel	No	Yes	No
AP2A2	ENSG00000183020.9	Novel	No	Yes	No
BRSK2	ENSG00000174672.11	Novel	No	Yes	No
C20orf62	ENSG00000168746.6	Novel	No	Yes	No
C4orf50	ENSG00000181215.8	Novel	No	Yes	No
CAMKK1	ENSG00000004660.10	Novel	No	Yes	No
CD151	ENSG00000177697.13	Novel	No	Yes	No
CD19	ENSG00000177455.7	Novel	No	Yes	No
CTD-2089N3.1	ENSG00000250360.1	Novel	No	Yes	No
CTD-2288O8.1	ENSG00000248898.1	Novel	No	Yes	No
DUSP8	ENSG00000184545.6	Novel	No	Yes	No
EIF2B1	ENSG00000111361.8	Novel	No	Yes	No
FTSJ3	ENSG00000108592.12	Novel	No	Yes	No
GMEB2	ENSG00000101216.6	Novel	No	Yes	No
GTF2H3	ENSG00000111358.9	Novel	No	Yes	No
HES7	ENSG00000179111.4	Novel	No	Yes	No
HSPA4	ENSG00000170606.9	Novel	No	Yes	No
ITGAE	ENSG00000083457.7	Novel	No	Yes	No
KCNJ1	ENSG00000151704.11	Novel	No	Yes	No
KIF22	ENSG00000079616.8	Novel	No	Yes	No
KRTAP5-2	ENSG00000205867.2	Novel	No	Yes	No
ONECUT2	ENSG00000119547.5	Novel	No	Yes	No
P2RX1	ENSG00000108405.3	Novel	No	Yes	No
PACSIN1	ENSG00000124507.6	Novel	No	Yes	No
PRICKLE2-AS3	ENSG00000226017.2	Novel	No	Yes	No
PRSS42	ENSG00000178055.8	Novel	No	Yes	No
PRUNE	ENSG00000143363.11	Novel	No	Yes	No
PSMC5	ENSG00000087191.8	Novel	No	Yes	No
RAP1GAP2	ENSG00000132359.9	Novel	No	Yes	No
RP11-1348G14.5	ENSG00000260796.1	Novel	No	Yes	No
RP11-173P15.7	ENSG00000255946.1	Novel	No	Yes	No
RP11-197N18.7	ENSG00000251497.2	Novel	No	Yes	No
RP11-227H15.4	ENSG00000229261.1	Novel	No	Yes	No
RP11-24N18.1	ENSG00000260570.1	Novel	No	Yes	No
RP11-367J11.2	ENSG00000245748.1	Novel	No	Yes	No
RP11-778D9.13	ENSG00000273181.1	Novel	No	Yes	No
RP11-894J14.5	ENSG00000272305.1	Novel	No	Yes	No
RP11-894P9.2	ENSG00000258851.1	Novel	No	Yes	No
RP4-583P15.15	ENSG00000273154.1	Novel	No	Yes	No
RP5-881L22.5	ENSG00000226812.2	Novel	No	Yes	No
RTEL1	ENSG00000258366.3	Novel	No	Yes	No
SLC35G6	ENSG00000259224.1	Novel	No	Yes	No
SNX22	ENSG00000157734.9	Novel	No	Yes	No
SYNPR	ENSG00000163630.6	Novel	No	Yes	No
THOC7-AS1	ENSG00000240549.2	Novel	No	Yes	No
UQCRB	ENSG00000156467.5	Novel	No	Yes	No
CASC11	ENSG00000249375.3	Known	No	Yes	No
FAM63A	ENSG00000143409.11	Known	No	Yes	No
GLI2	ENSG00000074047.16	Known	No	Yes	No
HORMAD2	ENSG00000176635.13	Known	No	Yes	No
IGF2BP3	ENSG00000136231.9	Known	No	Yes	No
KCNQ1OT1	ENSG00000269821.1	Known	No	Yes	No
PCDH17	ENSG00000118946.7	Known	No	Yes	No
SLC16A11	ENSG00000174326.7	Known	No	Yes	No
SLC22A18AS	ENSG00000254827.1	Known	No	Yes	No
VASP	ENSG00000125753.9	Known	No	Yes	No
ADA	ENSG00000196839.8	Novel	Yes	Yes	No
C20ORF135	ENSG00000268858.1	Novel	Yes	Yes	No
C9orf139	ENSG00000180539.4	Novel	Yes	Yes	No
DNAJC5	ENSG00000101152.6	Novel	Yes	Yes	No
FAM101A	ENSG00000178882.9	Novel	Yes	Yes	No
GPAA1	ENSG00000197858.6	Novel	Yes	Yes	No
NUPL2	ENSG00000136243.12	Novel	Yes	Yes	No
PTK6	ENSG00000101213.5	Novel	Yes	Yes	No
RP11-2B6.3	ENSG00000269946.1	Novel	Yes	Yes	No
RP11-539L10.2	ENSG00000246526.2	Novel	Yes	Yes	No
TACR2	ENSG00000075073.10	Novel	Yes	Yes	No
HTT	ENSG00000197386.6	Known	Yes	Yes	No
MYC	ENSG00000136997.10	Known	Yes	Yes	No
RP11-486O12.2	ENSG00000247373.2	Known	Yes	Yes	No
ABCF3	ENSG00000161204.7	Novel	No	No	Yes
AC009133.14	ENSG00000238045.5	Novel	No	No	Yes
AC137932.1	ENSG00000268218.1	Novel	No	No	Yes
AC137932.5	ENSG00000260279.1	Novel	No	No	Yes
ADAMTSL4-AS1	ENSG00000203804.3	Novel	No	No	Yes
AF131215.8	ENSG00000270076.1	Novel	No	No	Yes
AF186192.1	ENSG00000254533.1	Novel	No	No	Yes
AL365202.1	ENSG00000203286.4	Novel	No	No	Yes
ALG3	ENSG00000214160.5	Novel	No	No	Yes
ALKBH4	ENSG00000160993.3	Novel	No	No	Yes
AP000769.7	ENSG00000270117.1	Novel	No	No	Yes
AP2M1	ENSG00000161203.9	Novel	No	No	Yes
APH1B	ENSG00000138613.9	Novel	No	No	Yes
ASPHD1	ENSG00000174939.6	Novel	No	No	Yes
ATP6V0A2	ENSG00000185344.9	Novel	No	No	Yes
BBS2	ENSG00000125124.7	Novel	No	No	Yes
C11orf58	ENSG00000110696.5	Novel	No	No	Yes
C8orf82	ENSG00000213563.2	Novel	No	No	Yes
CABP7	ENSG00000100314.3	Novel	No	No	Yes
CAGE1	ENSG00000164304.11	Novel	No	No	Yes
CALCB	ENSG00000175868.9	Novel	No	No	Yes
CAMK2N2	ENSG00000163888.3	Novel	No	No	Yes
CDIPT	ENSG00000103502.9	Novel	No	No	Yes
CDIPT-AS1	ENSG00000214725.3	Novel	No	No	Yes
CDK8	ENSG00000132964.7	Novel	No	No	Yes
CEP41	ENSG00000106477.14	Novel	No	No	Yes
CHORDC1	ENSG00000110172.7	Novel	No	No	Yes
CHST8	ENSG00000124302.8	Novel	No	No	Yes
COASY	ENSG00000068120.10	Novel	No	No	Yes
COMMD9	ENSG00000110442.7	Novel	No	No	Yes
CTB-113I20.2	ENSG00000271737.1	Novel	No	No	Yes
CTC-537E7.3	ENSG00000248884.1	Novel	No	No	Yes
CTD-3193O13.1	ENSG00000260500.1	Novel	No	No	Yes
EXT1	ENSG00000182197.6	Novel	No	No	Yes
FADD	ENSG00000168040.4	Novel	No	No	Yes
FGD6	ENSG00000180263.9	Novel	No	No	Yes
FKBP8	ENSG00000105701.11	Novel	No	No	Yes
GABPB2	ENSG00000143458.7	Novel	No	No	Yes
GADD45GIP1	ENSG00000179271.1	Novel	No	No	Yes
GPT	ENSG00000167701.9	Novel	No	No	Yes
HCN1	ENSG00000164588.4	Novel	No	No	Yes
HOMER1	ENSG00000152413.10	Novel	No	No	Yes
hsa-mir-335	ENSG00000270823.1	Novel	No	No	Yes
HSD11B1L	ENSG00000167733.9	Novel	No	No	Yes
INPP5E	ENSG00000148384.11	Novel	No	No	Yes
ITIH3	ENSG00000162267.8	Novel	No	No	Yes
KCNRG	ENSG00000198553.4	Novel	No	No	Yes
KIAA0020	ENSG00000080608.9	Novel	No	No	Yes
KLHL26	ENSG00000167487.7	Novel	No	No	Yes
LINC00610	ENSG00000196559.3	Novel	No	No	Yes
LINC00951	ENSG00000204092.2	Novel	No	No	Yes
LIPH	ENSG00000163898.5	Novel	No	No	Yes
LRWD1	ENSG00000161036.6	Novel	No	No	Yes
MALAT1	ENSG00000251562.3	Novel	No	No	Yes
MAN2C1	ENSG00000140400.10	Novel	No	No	Yes
MANBA	ENSG00000109323.4	Novel	No	No	Yes
MNS1	ENSG00000138587.5	Novel	No	No	Yes
MRGPRE	ENSG00000184350.8	Novel	No	No	Yes
MRPL28	ENSG00000086504.11	Novel	No	No	Yes
MRPL32	ENSG00000106591.3	Novel	No	No	Yes
MSI1	ENSG00000135097.2	Novel	No	No	Yes
MYT1	ENSG00000196132.7	Novel	No	No	Yes
NCOA3	ENSG00000124151.14	Novel	No	No	Yes
NEFH	ENSG00000100285.9	Novel	No	No	Yes
NEIL1	ENSG00000140398.9	Novel	No	No	Yes
NF2	ENSG00000186575.13	Novel	No	No	Yes
PARL	ENSG00000175193.8	Novel	No	No	Yes
PCDP1	ENSG00000163075.8	Novel	No	No	Yes
PHPT1	ENSG00000054148.13	Novel	No	No	Yes
PISD	ENSG00000241878.5	Novel	No	No	Yes
POLR3K	ENSG00000161980.5	Novel	No	No	Yes
PPDPF	ENSG00000125534.5	Novel	No	No	Yes
PPIA	ENSG00000196262.9	Novel	No	No	Yes
PRRT2	ENSG00000167371.12	Novel	No	No	Yes
PRSS46	ENSG00000261603.1	Novel	No	No	Yes
PRSS50	ENSG00000206549.8	Novel	No	No	Yes
PSMD12	ENSG00000197170.5	Novel	No	No	Yes
PSMD2	ENSG00000175166.12	Novel	No	No	Yes
RAI1-AS1	ENSG00000237328.1	Novel	No	No	Yes
RNF34	ENSG00000170633.12	Novel	No	No	Yes
RP1-76B20.11	ENSG00000232396.2	Novel	No	No	Yes
RP11-214K3.24	ENSG00000269923.1	Novel	No	No	Yes
RP11-264B17.2	ENSG00000260853.1	Novel	No	No	Yes
RP11-282O18.3	ENSG00000235423.4	Novel	No	No	Yes
RP11-338K17.8	ENSG00000255839.1	Novel	No	No	Yes
RP11-358M14.2	ENSG00000228322.1	Novel	No	No	Yes
RP11-365H22.2	ENSG00000272576.1	Novel	No	No	Yes
RP11-38P22.2	ENSG00000241732.1	Novel	No	No	Yes
RP11-397A16.2	ENSG00000267325.1	Novel	No	No	Yes
RP11-434C1.1	ENSG00000247157.2	Novel	No	No	Yes
RP11-493K19.3	ENSG00000235016.1	Novel	No	No	Yes
RP11-775D22.2	ENSG00000229196.3	Novel	No	No	Yes
RP11-778D9.12	ENSG00000272721.1	Novel	No	No	Yes
RP11-77K12.1	ENSG00000261717.1	Novel	No	No	Yes
RP11-817O13.8	ENSG00000260274.1	Novel	No	No	Yes
RP11-84C13.1	ENSG00000271359.1	Novel	No	No	Yes
RPS6	ENSG00000137154.8	Novel	No	No	Yes
RRAS2	ENSG00000133818.8	Novel	No	No	Yes
SAPCD2	ENSG00000186193.7	Novel	No	No	Yes
SAT2	ENSG00000141504.7	Novel	No	No	Yes
SCNM1	ENSG00000163156.7	Novel	No	No	Yes
SETDB1	ENSG00000143379.8	Novel	No	No	Yes
SEZ6L2	ENSG00000174938.10	Novel	No	No	Yes
SFMBT1	ENSG00000163935.9	Novel	No	No	Yes
SLC1A4	ENSG00000115902.6	Novel	No	No	Yes
SLC39A4	ENSG00000147804.5	Novel	No	No	Yes
SNRNP25	ENSG00000161981.6	Novel	No	No	Yes
SNX33	ENSG00000173548.8	Novel	No	No	Yes
SOBP	ENSG00000112320.7	Novel	No	No	Yes
SPATA18	ENSG00000163071.6	Novel	No	No	Yes
SRRT	ENSG00000087087.14	Novel	No	No	Yes
STK17A	ENSG00000164543.5	Novel	No	No	Yes
STX18	ENSG00000168818.5	Novel	No	No	Yes
THOC5	ENSG00000100296.9	Novel	No	No	Yes
THOC7	ENSG00000163634.7	Novel	No	No	Yes
TIGD2	ENSG00000180346.2	Novel	No	No	Yes
TMEM141	ENSG00000244187.3	Novel	No	No	Yes
TMEM160	ENSG00000130748.6	Novel	No	No	Yes
TMEM161A	ENSG00000064545.10	Novel	No	No	Yes
TMEM209	ENSG00000146842.12	Novel	No	No	Yes
TNFRSF11A	ENSG00000141655.11	Novel	No	No	Yes
TRIM13	ENSG00000204977.5	Novel	No	No	Yes
TRIO	ENSG00000038382.13	Novel	No	No	Yes
TSSK6	ENSG00000178093.12	Novel	No	No	Yes
TUFM	ENSG00000178952.4	Novel	No	No	Yes
UBE2G1	ENSG00000132388.8	Novel	No	No	Yes
UFSP1	ENSG00000176125.3	Novel	No	No	Yes
VAMP2	ENSG00000220205.4	Novel	No	No	Yes
VDAC1	ENSG00000213585.6	Novel	No	No	Yes
WASF3	ENSG00000132970.8	Novel	No	No	Yes
WASF3-AS1	ENSG00000237001.2	Novel	No	No	Yes
ZCCHC2	ENSG00000141664.5	Novel	No	No	Yes
ZMAT5	ENSG00000100319.11	Novel	No	No	Yes
ZNF595	ENSG00000197701.7	Novel	No	No	Yes
AEBP1	ENSG00000106624.4	Known	No	No	Yes
ARHGAP39	ENSG00000147799.7	Known	No	No	Yes
CAMKK2	ENSG00000110931.14	Known	No	No	Yes
CPA2	ENSG00000158516.7	Known	No	No	Yes
CRTC1	ENSG00000105662.11	Known	No	No	Yes
CTDNEP1	ENSG00000175826.7	Known	No	No	Yes
DDX56	ENSG00000136271.6	Known	No	No	Yes
DEPDC5	ENSG00000100150.12	Known	No	No	Yes
DLEU1	ENSG00000176124.7	Known	No	No	Yes
DYNLL1	ENSG00000088986.6	Known	No	No	Yes
EIF5A	ENSG00000132507.13	Known	No	No	Yes
ETS1	ENSG00000134954.10	Known	No	No	Yes
FLI1	ENSG00000151702.12	Known	No	No	Yes
GABARAP	ENSG00000170296.5	Known	No	No	Yes
GLIS3-AS1	ENSG00000237009.2	Known	No	No	Yes
HNF1A-AS1	ENSG00000241388.3	Known	No	No	Yes
KCNK7	ENSG00000173338.8	Known	No	No	Yes
LINC00926	ENSG00000247982.2	Known	No	No	Yes
LPAR2	ENSG00000064547.9	Known	No	No	Yes
LRFN2	ENSG00000156564.8	Known	No	No	Yes
MEF2BNB	ENSG00000254901.3	Known	No	No	Yes
MLX	ENSG00000108788.7	Known	No	No	Yes
P2RY1	ENSG00000169860.4	Known	No	No	Yes
PDE8B	ENSG00000113231.9	Known	No	No	Yes
PHF23	ENSG00000040633.8	Known	No	No	Yes
PHLPP1	ENSG00000081913.9	Known	No	No	Yes
PLK2	ENSG00000145632.10	Known	No	No	Yes
PPIF	ENSG00000108179.9	Known	No	No	Yes
RAD21	ENSG00000164754.8	Known	No	No	Yes
RAPSN	ENSG00000165917.5	Known	No	No	Yes
RFX3	ENSG00000080298.11	Known	No	No	Yes
RFXANK	ENSG00000064490.9	Known	No	No	Yes
RIOK1	ENSG00000124784.4	Known	No	No	Yes
SCD5	ENSG00000145284.7	Known	No	No	Yes
SHBG	ENSG00000129214.10	Known	No	No	Yes
SLC30A8	ENSG00000164756.8	Known	No	No	Yes
SNRNP48	ENSG00000168566.11	Known	No	No	Yes
SYCE2	ENSG00000161860.7	Known	No	No	Yes
TTC39A	ENSG00000085831.11	Known	No	No	Yes
UQCR10	ENSG00000184076.10	Known	No	No	Yes
USP3	ENSG00000140455.12	Known	No	No	Yes
XKR6	ENSG00000171044.6	Known	No	No	Yes
ZNF710	ENSG00000140548.5	Known	No	No	Yes
AC005355.2	ENSG00000251169.2	Novel	Yes	No	Yes
AC025335.1	ENSG00000179859.7	Novel	Yes	No	Yes
ANXA9	ENSG00000143412.5	Novel	Yes	No	Yes
C20orf201	ENSG00000171695.6	Novel	Yes	No	Yes
C9orf142	ENSG00000148362.6	Novel	Yes	No	Yes
CLIC3	ENSG00000169583.12	Novel	Yes	No	Yes
CRYGS	ENSG00000213139.3	Novel	Yes	No	Yes
DAD1	ENSG00000129562.6	Novel	Yes	No	Yes
FBXL6	ENSG00000182325.6	Novel	Yes	No	Yes
GPNMB	ENSG00000136235.11	Novel	Yes	No	Yes
LSP1	ENSG00000130592.9	Novel	Yes	No	Yes
MAN2B2	ENSG00000013288.4	Novel	Yes	No	Yes
MESP1	ENSG00000166823.5	Novel	Yes	No	Yes
MRPL23	ENSG00000214026.6	Novel	Yes	No	Yes
MTMR9	ENSG00000104643.5	Novel	Yes	No	Yes
ORAI2	ENSG00000160991.11	Novel	Yes	No	Yes
OSBPL5	ENSG00000021762.15	Novel	Yes	No	Yes
PARP10	ENSG00000178685.9	Novel	Yes	No	Yes
PDIA2	ENSG00000185615.11	Novel	Yes	No	Yes
PPP6R2	ENSG00000100239.11	Novel	Yes	No	Yes
PTGDS	ENSG00000107317.7	Novel	Yes	No	Yes
RP11-1191J2.2	ENSG00000242686.2	Novel	Yes	No	Yes
RP4-583P15.10	ENSG00000229299.2	Novel	Yes	No	Yes
TMIE	ENSG00000181585.3	Novel	Yes	No	Yes
TNNI2	ENSG00000130598.11	Novel	Yes	No	Yes
TRAF2	ENSG00000127191.13	Novel	Yes	No	Yes
ACAP1	ENSG00000072818.7	Known	Yes	No	Yes
CPA4	ENSG00000128510.6	Known	Yes	No	Yes
DGKB	ENSG00000136267.9	Known	Yes	No	Yes
EHBP1L1	ENSG00000173442.7	Known	Yes	No	Yes
IGF2BP2	ENSG00000073792.11	Known	Yes	No	Yes
INS-IGF2	ENSG00000129965.9	Known	Yes	No	Yes
KCNQ1	ENSG00000053918.11	Known	Yes	No	Yes
KCTD11	ENSG00000213859.3	Known	Yes	No	Yes
KLF14	ENSG00000174595.4	Known	Yes	No	Yes
ONECUT1	ENSG00000169856.7	Known	Yes	No	Yes
PMPCA	ENSG00000165688.7	Known	Yes	No	Yes
TH	ENSG00000180176.10	Known	Yes	No	Yes
TPCN2	ENSG00000162341.11	Known	Yes	No	Yes
