Gene	Region	Top score	Curated Approach	EIP	ICP	View
ZNF771	16:30418618-30442429	5	5	0	0	Evidence
WSCD2	12:108523248-108644314	5	5	3	0	Evidence
WFS1	4:6271576-6304992	5	5	0	0	Evidence
TP53INP1	8:95938200-95961639	5	2	4	5	Evidence
TM6SF2	19:19375173-19384200	5	5	0	0	Evidence
TBC1D4	13:75857639-76056250	5	5	0	0	Evidence
SLC5A1	22:32439019-32509016	5	5	0	0	Evidence
SLC30A8	8:117962512-118188953	5	5	4	0	Evidence
SLC16A11	17:6944949-6947242	5	5	0	0	Evidence
SLC12A8	3:124801480-124931708	5	0	5	0	Evidence
RREB1	6:7107830-7252213	5	5	4	0	Evidence
QSER1	11:32914366-33014862	5	5	0	0	Evidence
PPARG	3:12328867-12475855	5	5	3	0	Evidence
POC5	5:74969949-75013306	5	5	0	0	Evidence
PNPLA3	22:44319619-44360368	5	5	4	0	Evidence
PLCB3	11:64018995-64036622	5	5	0	0	Evidence
PDX1	13:28494157-28500368	5	5	0	0	Evidence
PCDH17	13:58205944-58303445	5	0	0	5	Evidence
PAX4	7:127250346-127258168	5	5	0	0	Evidence
PATJ	1:62208078-62644347	5	5	0	0	Evidence
PAM	5:102089685-102366809	5	5	0	0	Evidence
NKX2-2	20:21491648-21494664	5	5	0	0	Evidence
NEUROG3	10:71331454-71332994	5	5	3	0	Evidence
MTNR1B	11:92702886-92718232	5	5	3	0	Evidence
MNX1	7:156786745-156803345	5	5	2	0	Evidence
MC4R	18:58038295-58040008	5	5	0	0	Evidence
LPL	8:19759228-19824770	5	5	0	0	Evidence
KCNJ11	11:17407406-17410878	5	5	3	0	Evidence
JAZF1	7:27870192-28220362	5	3	5	0	Evidence
JADE2	5:133860003-133918920	5	0	5	1	Evidence
IRS2	13:110405045-110438915	5	5	0	0	Evidence
INS	11:2181009-2182571	5	5	0	0	Evidence
IGF2	11:2150342-2179888	5	5	0	0	Evidence
HNF4A	20:42984340-43063236	5	5	3	0	Evidence
HNF1B	17:36046435-36105238	5	5	3	0	Evidence
HNF1A	12:121416346-121440315	5	5	4	0	Evidence
HMGA1	6:34204650-34214008	5	0	5	0	Evidence
GLP1R	6:39016574-39055519	5	5	0	0	Evidence
GLIS3	9:3824127-4348392	5	5	1	0	Evidence
GIPR	19:46171502-46186982	5	5	4	0	Evidence
GCKR	2:27719709-27746551	5	5	0	0	Evidence
GCK	7:44183870-44237769	5	5	2	0	Evidence
FBRSL1	12:133066137-133161774	5	0	5	0	Evidence
DPEP1	16:89679716-89704864	5	0	0	5	Evidence
DNMT3A	2:25450724-25565459	5	0	5	0	Evidence
CDKN1B	12:12867992-12875305	5	5	1	0	Evidence
BCL2	18:60790579-60987361	5	0	5	0	Evidence
ATXN7	3:63884075-63989129	5	0	5	1	Evidence
APOE	19:45409011-45412650	5	5	0	0	Evidence
ANKH	5:14704909-14871894	5	5	3	0	Evidence
ANGPTL4	19:8428173-8439257	5	5	0	0	Evidence
ABCC8	11:17414045-17498426	5	5	0	0	Evidence
ZMIZ1	10:80828792-81076285	4	4	4	0	Evidence
TSPAN8	12:71518865-71835678	4	0	4	0	Evidence
TLE1	9:84198598-84304220	4	0	4	3	Evidence
