Gene Name	Gene Probability	Locus Location
DNMT3A	0.918475032	2 : 25283568 - 25783569
JAZF1	0.897078693	7 : 27946413 - 28446414
JADE2	0.894567847	5 : 133615452 - 134115453
HMGA1	0.892763376	6 : 33997047 - 34497048
FBRSL1	0.890214682	12 : 132816392 - 133316393
BCL2	0.88624531	18 : 60595884 - 61095885
ATXN7	0.884170294	3 : 63732670 - 64232671
SLC12A8	0.883934021	3 : 124669777 - 125169778
ST6GAL1	0.882712662	3 : 186415645 - 186915646
SCD5	0.880594015	4 : 83337562 - 83837563
TSPAN8	0.876659989	12 : 71272953 - 71772954
FAM13A	0.875909686	4 : 89501858 - 90001859
PNPLA3	0.875879228	22 : 44074730 - 44574731
SSR1	0.867838204	6 : 6824687 - 7481844
KCNQ1	0.865873158	11 : 1823182 - 3107195
SLC30A8	0.865120649	8 : 117934783 - 118434784
PABPC4	0.864929676	1 : 39529802 - 40285929
GIPR	0.864522576	19 : 45928661 - 46428662
RREB1	0.863790512	6 : 6824687 - 7481844
TCF4	0.862573981	18 : 52837984 - 53337985
CMIP	0.862145782	16 : 81284790 - 81784791
EYA2	0.861776114	20 : 45348564 - 45848565
TP53INP1	0.860884726	8 : 95435147 - 96210768
COBLL1	0.860340297	2 : 165258389 - 166012010
IGF2BP3	0.858073771	7 : 23262896 - 23762897
TLE1	0.858038843	9 : 84058948 - 84558949
RASGRP1	0.855675757	15 : 38602386 - 39102387
HMGA2	0.855663478	12 : 65971060 - 66596625
PEPD	0.854861736	19 : 33676402 - 34176403
BMF	0.853806436	15 : 40148754 - 40648755
HNF1A	0.852745652	12 : 121166864 - 121679195
ARAP1	0.852657974	11 : 72210398 - 72971272
ZMIZ1	0.852519631	10 : 80703451 - 81203452
HAUS6	0.851529837	9 : 18815825 - 19315826
CDKAL1	0.845312238	6 : 20423880 - 21280756
SPRED2	0.845088363	2 : 65029805 - 65905013
KDM2B	0.843613148	12 : 121688185 - 122188186
HNF1B	0.843052089	17 : 35849952 - 36349953
ANKH	0.842530847	5 : 14501305 - 15060835
ADCY5	0.838690877	3 : 122815778 - 123315779
ITGA1	0.834084153	5 : 51850489 - 52350490
KCNJ11	0.830197334	11 : 16851554 - 17658405
NEUROG3	0.830104053	10 : 71071279 - 71720826
RFC5	0.828084588	12 : 118204833 - 118704834
PROX1	0.827214122	1 : 213909256 - 214409257
ETS1	0.826398373	11 : 127792575 - 128639392
PPARG	0.825100243	3 : 11826562 - 12579784
ARL15	0.824517727	5 : 53022664 - 53522665
PPIP5K2	0.824160814	5 : 100524699 - 103223338
PELO	0.82402271	5 : 51850489 - 52350490
CEP68	0.822703958	2 : 65029805 - 65905013
HNF4A	0.822072923	20 : 42746184 - 43292365
C12orf43	0.820609272	12 : 121166864 - 121679195
NDUFAF6	0.818994939	8 : 95435147 - 96210768
WSCD2	0.816987514	12 : 108379780 - 108879781
MTNR1B	0.816297591	11 : 92458710 - 93310240
GCK	0.809410095	7 : 44005643 - 44505644
C5orf67	0.806218565	5 : 55558475 - 56118098
SLC7A7	0.80575192	14 : 23038935 - 23538936
ZNF101	0.803302288	19 : 19157718 - 20036100
RRAGA	0.80279994	9 : 18815825 - 19315826
SAXO1	0.801245391	9 : 18815825 - 19315826
LTK	0.801046312	15 : 41568917 - 42365748
MNX1	0.800004363	7 : 156680550 - 157180551
CPQ	0.799428046	8 : 97487741 - 97987742
DPY19L4	0.796509981	8 : 95435147 - 96210768
FGFBP3	0.795562744	10 : 93615244 - 94717288
GRB14	0.794818699	2 : 165258389 - 166012010
POMC	0.79244101	2 : 25283568 - 25783569
FTO	0.792373836	16 : 53580452 - 54080453
CACNA2D3	0.791637778	3 : 54578827 - 55078828
CAGE1	0.79107362	6 : 6824687 - 7481844
MAP2K7	0.787331402	19 : 7720635 - 8679324
HEG1	0.787029386	3 : 124669777 - 125169778
PTGFRN	0.786111176	1 : 117282790 - 117782791
UBE2E2	0.784322858	3 : 22943007 - 23877177
SHQ1	0.784271896	3 : 72615183 - 73115184
QPCTL	0.783609569	19 : 45928661 - 46428662
CYTIP	0.775381386	2 : 158075760 - 158575761
ZFP36L2	0.774204373	2 : 43179806 - 44270442
USP3	0.773158967	15 : 63611730 - 64362635
HERC1	0.773158967	15 : 63611730 - 64362635
DAPK2	0.773158967	15 : 63611730 - 64362635
MOV10L1	0.767877817	22 : 50106850 - 50606851
SCN3A	0.766439319	2 : 165258389 - 166012010
CDK8	0.764161646	13 : 26526999 - 27027000
CEBPB	0.762746692	20 : 48580772 - 49080773
C2CD4A	0.760926425	15 : 62144264 - 62644265
MALSU1	0.760503769	7 : 23262896 - 23762897
SNX33	0.758561671	15 : 75678192 - 76178193
GLIS3	0.757818818	9 : 4041928 - 4541929
FBXL22	0.75707072	15 : 63611730 - 64362635
CDKN1B	0.754571676	12 : 12621099 - 13121100
SIN3A	0.750562251	15 : 75678192 - 76178193
PTPN9	0.750562251	15 : 75678192 - 76178193
THADA	0.750121057	2 : 43179806 - 44270442
