gene	initial_alias	alias_concordance	ensembl_id	combined_prediction	combined_genetic_evidence	combined_regulatory_evidence	combined_perturbation_evidence
ABCC8	ABCC8	TRUE	ENSG00000006071	CAUSAL	1C		2P
ANGPTL4	ANGPTL4	TRUE	ENSG00000167772	CAUSAL	1C	3R	2P
ANKH	ANKH	TRUE	ENSG00000154122	CAUSAL	1C		3P
APOE	APOE	TRUE	ENSG00000130203	CAUSAL	1C		2P
CDKN1B	CDKN1B	TRUE	ENSG00000111276	CAUSAL	1C		3P
GCK	GCK	TRUE	ENSG00000106633	CAUSAL	1C	3R	2P
GCKR	GCKR	TRUE	ENSG00000084734	CAUSAL	1C		2P
GIPR	GIPR	TRUE	ENSG00000010310	CAUSAL	1C	3R	3P
GLIS3	GLIS3	TRUE	ENSG00000107249	CAUSAL	1C	3R	2P
GLP1R	GLP1R	TRUE	ENSG00000112164	CAUSAL	1C	3R	2P
HNF1A	HNF1A	TRUE	ENSG00000135100	CAUSAL	1C		2P
HNF1B	HNF1B	TRUE	ENSG00000275410	CAUSAL	1C		2P
HNF4A	HNF4A	TRUE	ENSG00000101076	CAUSAL	1C		2P
IGF2	IGF2	TRUE	ENSG00000167244	CAUSAL	1C		2P
INS	INS	TRUE	ENSG00000254647	CAUSAL	1C		2P
IRS2	IRS2	TRUE	ENSG00000185950	CAUSAL	1C		3P
KCNJ11	KCNJ11	TRUE	ENSG00000187486	CAUSAL	1C	3R	2P
LPL	LPL	TRUE	ENSG00000175445	CAUSAL	1C	3R	3P
MC4R	MC4R	TRUE	ENSG00000166603	CAUSAL	1C	3R	2P
MNX1	MNX1	TRUE	ENSG00000130675	CAUSAL	1C		2P
MTNR1B	MTNR1B	TRUE	ENSG00000134640	CAUSAL	1C	3R	3P
NEUROG3	NEUROG3	TRUE	ENSG00000122859	CAUSAL	1C		3P
NKX2-2	NKX2-2	TRUE	ENSG00000125820	CAUSAL	1C		2P
PAM	PAM	TRUE	ENSG00000145730	CAUSAL	1C	2R	2P
PATJ	PATJ	TRUE	ENSG00000132849	CAUSAL	1C		
