Candidate effector gene	T2D GWAS locus	T2D GWAS index SNV	eQTL index SNV	eQTL tissue	πCOLOC
ABO	ABO	rs505922	rs643434	Skeletal muscle	0.993
ABO	ABO	rs505922	rs505922	Visceral adipose	0.991
AC012354.6	SIX3-SIX2	rs12712928	rs12712928	Islet	0.999
AC122129.1	RAI1	rs1108646	rs11078400	Skeletal muscle	0.808
ADCY5	ADCY5	rs11708067	rs11708067	Islet	1
ANK1	ANK1	rs508419	rs508419	Subcutaneous adipose	0.972
ANK1	ANK1	rs508419	rs35273426	Skeletal muscle	0.98
AP3S2	AP3S2	rs6496609	rs4932143	Skeletal muscle	0.923
AP3S2	AP3S2	rs6496609	rs12440156	Islet	0.885
ARAP1	CENTD2	rs77464186	rs7109575	Islet	0.904
ARHGAP19	ARHGAP19-SLIT1	rs10748694	rs1253423	Visceral adipose	0.803
ARHGAP19	ARHGAP19-SLIT1	rs10748694	rs10882890	Subcutaneous adipose	0.851
ATP5G1	GIP-TTLL6	rs35895680	rs67174000	Skeletal muscle	0.845
C12orf65	MPHOSPH9-ZNF664	rs1790116	rs11057204	Subcutaneous adipose	0.8
CALR	FARSA-ZNF799	rs3111316	rs1049481	Subcutaneous adipose	0.936
CAMK1D	CDC123-CAMK1D	rs11257655	rs11257655	Islet	1
CARD9	GPSM1	rs28429551	rs3812547	Islet	0.977
CCDC67	MTNR1B	rs11020308	rs7943372	Islet	0.996
CCNE2	TP53INP1	rs13257021	rs4582532	Visceral adipose	0.836
CD101	PTGFRN	rs1127215	rs13951	Islet	0.988
CDK8	RNF6	rs34584161	rs34584161	Islet	0.981
CEP68	CEP68	rs2540949	rs1009358	Subcutaneous adipose	0.983
CEP68	CEP68	rs2540949	rs1009358	Visceral adipose	0.982
CEP68	CEP68	rs2540949	rs2723065	Skeletal muscle	0.986
CEP68	CEP68	rs2540949	rs2723064	Islet	0.978
CEP68	CEP68	rs2540949	rs2723086	Liver	0.948
CLUAP1	CLUAP1-SLX4	rs12445430	rs35275535	Hypothalamus	0.919
CPLX1	CTBP1-PCGF3-MAEA	rs73221123	rs28587502	Islet	0.881
CRHR2	CRHR2	rs917195	rs7793837	Islet	0.822
CTA-85E5.10	MTMR3-ZNRF3	rs36575	rs1548684	Subcutaneous adipose	0.869
CTD-2021H9.3	TSPAN8	rs7313668	rs3851611	Skeletal muscle	0.883
DCAF16	LCORL	rs6855926	rs7679066	Subcutaneous adipose	0.871
DGKB	DGKB	rs17168486	rs17168486	Islet	0.984
DGKB	DGKB	rs2215383	rs10231021	Islet	0.967
DLK1	DLK1-MEG3	rs73347525	rs73347525	Islet	0.958
DNLZ	GPSM1	rs28429551	rs57052773	Islet	0.99
FAM134C	MLX	rs684214	rs74322397	Skeletal muscle	0.932
FAM85B	MSRA-XKR6	rs4240673	rs907183	Subcutaneous adipose	0.83
FBXL22	USP3	rs7178762	rs28627799	Skeletal muscle	0.868
GPSM1	GPSM1	rs28429551	rs28642213	Islet	0.99
HAUS6	HAUS6	rs12380322	rs12343169	Islet	0.89
HERC1	USP3	rs7178762	rs7178762	Visceral adipose	0.84
HMG20A	HMG20A	rs952472	rs59153558	Islet	0.973
HSD17B12	HSD17B12	rs6485462	rs1878850	Hypothalamus	0.977
HSD17B12	HSD17B12	rs6485462	rs1061810	Liver	0.929
HSD17B12	HSD17B12	rs6485462	rs57635800	Islet	0.911
IGF2BP2	IGF2BP2	rs7633675	rs150111048	Islet	0.953
INHBB	GLI2	rs11688682	rs11688682	Visceral adipose	0.891
IRS1	IRS1	rs2943648	rs2972137	Subcutaneous adipose	0.948
IRS1	IRS1	rs2943648	rs2673127	Visceral adipose	0.826
ITFG3	ITFG3	rs6600191	rs55857387	Subcutaneous adipose	0.989
ITGB6	RBSM1	rs1020731	rs764729	Subcutaneous adipose	0.925
ITGB6	RBSM1	rs1020731	rs764729	Visceral adipose	0.927
ITGB6	RBSM1	rs1020731	rs3772070	Hypothalamus	0.942
JAZF1	JAZF1	rs849133	rs1708302	Skeletal muscle	0.986
JAZF1	JAZF1	rs849133	rs849335	Subcutaneous adipose	0.956
JAZF1	JAZF1	rs849133	rs849335	Visceral adipose	0.947
JAZF1	JAZF1	rs849133	rs10264306	Liver	0.937
KLF14	KLF14	rs1562396	rs6974400	Subcutaneous adipose	0.903
KLHL42	KLHDC5	rs12578595	rs4931479	Islet	0.972
MAN2C1	PTPN9-SIN3A	rs11636031	rs7402293	Liver	0.909
MAN2C1	PTPN9-SIN3A	rs11636031	rs7171507	Subcutaneous adipose	0.944
MAN2C1	PTPN9-SIN3A	rs11636031	rs12916964	Skeletal muscle	0.937
MED23	MED23-ENPP3	rs7739842	rs2608955	Skeletal muscle	0.976
MTNR1B	MTNR1B	rs10830963	rs10830963	Islet	1
NDUFAF6	TP53INP1	rs13257021	rs726816	Visceral adipose	0.831
NDUFAF6	TP53INP1	rs13257021	rs7819800	Subcutaneous adipose	0.843
NKX6-3	ANK1	rs12550613	rs4736819	Islet	0.987
NOTCH2	NOTCH2	rs835576	rs1805257	Liver	0.877
NUS1	NUS1	rs72951506	rs80196932	Islet	0.983
PCGF3	CTBP1-PCGF3-MAEA	rs73221123	rs1531583	Subcutaneous adipose	0.829
PCGF3	CTBP1-PCGF3-MAEA	rs73221123	rs1531583	Visceral adipose	0.84
