Gene name	Locus id	Positive probability
ATP2A3	ZZEF1_17_3860356	0.68
ATP2A3	ZZEF1_17_3828086	0.6
C1orf56	FAM63A_1_151017991	0.56
CA12	USP3_15_63871292	0.56
CMIP	CMIP_16_81534790	0.6
CRY2	CRY2_11_45912013	0.52
CYP2R1	PDE3B_11_14763828	0.6
DCUN1D4	USP46_4_52818664	0.52
DGKG	IGF2BP2_3_185829891	0.6
DNAJB11	ST6GAL1_3_186665645	0.64
DNAJB11	ST6GAL1_3_186675277	0.64
DNAJB11	IGF2BP2_3_185829891	0.56
DPEP1	SPG7_16_89564055	0.84
FAM13A	FAM13A_4_89740894	0.52
FAM221A	IGF2BP3_7_23512896	0.6
FOCAD	FOCAD_9_20662703	0.64
GLP2R	GLP2R_17_9785187	0.72
HMGA2	HMGA2_12_66358347	0.56
KIF9	KIF9_3_47242923	0.52
KSR2	KSR2_12_118412373	0.56
KSR2	KSR2_12_118489636	0.56
MCCC1	ABCC5_3_183738460	0.56
NDUFAF6	TP53INP1_8_96092422	0.56
NUDT3	HMGA1_6_34247047	0.52
PCDH17	PCDH17_13_58965435	0.8
PCDH17	SRGAP2D_13_59077406	0.76
PCDH17	PCDH17_13_58366634	0.68
PDE3B	PDE3B_11_14763828	0.56
PLIN2	HAUS6_9_19067833	0.6
PLIN4	UHRF1_19_4948862	0.64
PLIN4	PTPRS_19_5224998	0.6
PTGFRN	PTGFRN_1_117532790	0.52
RBM23	SLC7A7_14_23288935	0.64
RBMS1	RBMS1_2_161135544	0.68
RCCD1	PRC1_15_91511260	0.64
SLC13A3	EYA2_20_45317678	0.56
SLC26A5	RELN_7_102987583	0.52
SPRED2	CEP68_2_65655012	0.6
TLE1	TLE1_9_84308948	0.6
TMBIM1	CRYBA2_2_219859171	0.6
TP53INP1	TP53INP1_8_95685147	0.8
TP53INP1	TP53INP1_8_96092422	0.8
TP53INP1	TP53INP1_8_95961626	0.72
TRHR	TRHR_8_110123183	0.52
VEGFA	VEGFA_6_43760327	0.64
ZNF732	PCGF3_4_616608	0.56

